instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
SC_n500_R1000_s901,GA-QL-c,2,158841.0,2.971828130001086,19700,True,28,0.015079200000000008,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-c,3,158841.0,3.2827454850012145,19700,True,29,0.03892400000000001,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-c,4,158841.0,3.07245060599962,19700,True,44,0.0023848000000000003,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-QL-c,5,158841.0,2.194762723000167,19700,True,30,0.007892800000000004,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,0,158841.0,2.849653966997721,19700,True,50,0.0020288000000000007,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,1,158841.0,3.1200961590002407,19700,True,36,0.003428000000000001,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,2,158841.0,2.749736223999207,19700,True,43,0.0045,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,3,158841.0,2.6809660049984814,19700,True,47,0.008238400000000005,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,4,158741.0,2.7710923380000168,19700,True,29,0.004137600000000001,158841.0,0.0629560377988051,False,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-RAND,5,158841.0,3.0300053079990903,19700,True,85,0.006713600000000002,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-UCB,0,158841.0,2.976363711997692,19700,True,42,0.004342400000000001,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-UCB,1,158841.0,2.467008296000131,19700,True,179,0.011247200000000006,158841.0,0.0,True,pisinger-gen,SC,500,1
SC_n500_R1000_s901,GA-UCB,2,158841.0,2.816895444997499,19700,True,40,0.007950400000000002,158841.0,0.0,True,pisinger-gen,SC,500,1
